,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ABCD1,-0.04743211050653198,-0.21664932635441567,0.30130048745530386,0.01197890268127144,0.49001151623354794,0.005258303875812117,-0.06102462800398203,-0.005198291151765067,0.0055725843512693905,-0.026329828716002524,0.11063497803265906,0.011029027793394815,-0.058211473926911235
ABCD2,0.3124826990634121,-0.011532702916586816,0.007202062955991519,0.6664738794808438,-0.03442786676880157,0.006475586094502546,0.019356424866255148,-0.001602375317013273,-0.5320554971974085,0.003548659953900441,-0.004690996678735143,0.07520960836147662,0.015280980861644514
ABCD3,-0.03425344326098026,-0.2539137461853088,-0.16860182625433315,-0.37018628796626135,-0.5938913285742123,0.05352419198762106,-0.27528499533901557,0.047434445418764466,-0.4415101143601083,0.005774603319355097,0.011794620432343113,-0.05006263530699048,-0.22856098869195093
ABCD4,0.0732988522787624,-0.03999203399256045,-0.22306028058892458,0.014241829778296874,0.08963229027341736,0.11417928399245576,0.14047088685922235,-0.039890923206092554,0.03174210829368006,0.003550200476999368,0.0029151644688187074,0.499533391656659,-0.14751575179879056
ABCE1,-0.16532524180460906,0.010284508809497262,0.13881792644836805,0.0031333701174913256,-0.8000434225793086,0.20902823252318775,-0.01313100488997281,-0.005355261895363704,-0.3148125200980036,-0.03782507702391593,-0.03241868630380184,0.3099373097497559,0.10104681382365702
ABCF1,-0.19946022775467745,0.005912692890507862,0.21876448504786572,0.016349361063570142,-0.08661705548437569,-0.27700020587332197,-0.15075138429138293,-0.019600003841029345,0.2287573804025337,-0.008053091041810985,-0.030902592258876527,-0.011773795519264368,0.0010296886138154676
ABCF2,-0.16189948027570844,0.034665075871921226,0.009147126160556664,-0.013606283851271697,0.0020360902945440345,0.08666719503839335,0.015247372136413468,-0.18794933808504835,-0.08347895846522867,-0.044068821334734075,-0.020779977572964993,-0.007296240936611734,0.011813262935461553
ABCF3,-0.16614665973097367,-0.14016616757571881,0.09632075537074765,-0.2617229698787153,0.29067267446548173,-0.22642889375278685,0.409764498121243,0.3092941010741105,-0.01654032223670398,-0.031268102383183276,0.000827645916998832,0.039913068550979015,-0.014728765636574794
ABCG1,-0.09770867864006552,0.14605481543273272,0.20895589621378072,0.06423718092571037,0.24328382250824934,0.02384155712134088,-0.2787809519752869,-0.025415675088311183,-0.025639028658753876,0.15023939637850278,0.02171680086464822,0.029734974138682008,-0.3272001919547662
ABCG2,0.2910540477669749,0.08301552662370501,-0.22750884610522706,0.017977812963577335,-0.175791828769119,-0.008736616730090314,-0.10133077264408648,-0.08612639332403446,-0.3278537066878281,0.26890060597713783,0.03915339169656025,-0.25745090120654607,-0.06820217776471127
ABCG4,-0.009726354485105058,0.152064363050767,-0.006044218535047662,-0.03390649464858503,0.2646148944720222,0.03171529979578467,0.003049399678149818,0.026910834845172274,-0.03544718011703631,-0.005032348127693001,0.011784694179872258,0.017647720488438937,0.0737854509252419
ABCG5,0.03728871700973159,-0.18624937468616004,-0.08984584585809863,-0.001923026343786817,0.007858743837187876,-0.012608971500313282,-0.20040965764236954,-0.006088721331265631,-0.08054547797308034,0.059617703948288484,0.03943676911995584,-0.3778977920357752,0.03928751750280778
ABCG8,0.036088145425749965,-0.15109383820428565,-0.039397990059668035,0.003104079593042348,0.012863078143608282,-0.003134539628288996,-0.16162568003303115,-0.009689544291569383,-0.04765272723897127,0.057124248682142685,0.039237167860935784,-0.42662319853058356,-0.003033840379677488
ABHD1,0.16755409527880627,-0.02832699322621342,-0.027396475621810773,0.049357251750188263,0.3514215231669415,0.0179573475517278,0.08431882119247153,0.0013729726500318505,0.0033104047528204647,-0.04117564055331624,-0.10168386996392877,-0.023368137305221536,-0.0284395573224782
ABHD10,-0.0023310998782325046,0.010103295567392773,-0.003188638458565406,-0.00653493325117321,-0.11809112690477658,-0.034466321040097586,0.3494376857599263,0.04422892252953087,-0.7526496008082035,-0.00860592205335799,0.024833523535589527,-0.05676808697486597,-0.03517414087290789
ABHD11,-0.217299920558062,-0.21151952137137486,-0.008110334287226139,-0.0030220341855758657,0.2612357189000418,0.04822403755848671,-0.0869016507920272,0.030168965257562463,0.15599769676733397,0.2592487760515721,-0.022889310611859216,-0.12774056670752204,-0.025110384816693237
ABHD11-AS1,-0.1640502078124407,0.0012292376168419417,-0.13548386252161318,-0.22139180926060925,0.08871743476362697,0.037094138432178486,-0.31610959446101394,0.0551092366791155,-0.1372533413417477,0.210393226445136,0.055701373017480495,0.032474719304378036,-0.010745835064353214
ABHD12,-0.005195710700468543,-0.3710799787004801,0.07373135348736509,-0.1804271079811033,0.056511289875107756,-0.025814789637748036,-0.029394441103585633,0.0036681535529630178,-0.02845965732526147,0.14947928972846244,-0.014432577967166032,-0.013554993938804313,-0.3624972690448991
ABHD12B,0.0025140380163742944,0.3082974573870641,0.01099913230679606,-0.0006243813008220961,0.014361676687283128,0.11239261655125139,0.14849101546547797,0.070134986046786,0.02142748334821104,-0.07631948277040188,-0.0175207864289175,0.011252621718202706,-0.012224086950284662
ABHD13,0.08048982871142397,0.1092373675673032,-0.15218302352428836,-0.03688476440839789,-0.7646844134459856,0.04144709525801525,-0.027107956398968926,-0.33808647206915843,0.030284988324286666,0.017465076642436593,-0.011363976871824773,0.016500324187151885,-0.027629291772216295
ABHD14A,0.2652319614390475,-0.07222547850599206,-0.12412159486945948,-0.10673156563625529,0.40718157478853007,0.011170216062417885,0.013577168723108733,0.005048404416858657,-0.6001918013682749,-0.3058776657386084,0.007774954093775792,0.0018790375028612093,-0.2649662658386539
ABHD14A-ACY1,0.008559558257380664,-0.05807016394466467,-0.038862368190951985,0.01789317373893372,0.0072716848770053594,0.011766491114724154,-0.03764690723169311,0.03125493754890922,0.021478848146330998,-0.11716171203609746,-0.018402592435366752,-0.013088639311537134,-0.03926850823713438
ABHD14B,0.10451144917590335,-0.19350100643683207,-0.12814819868213392,0.03428208855101636,0.07531445024965094,0.20302926716091776,-0.13034415079552444,0.0358443903043704,-0.2884714352297421,-0.07328927229360149,0.004499513260549929,0.08193336720282703,-0.1844471726385386
ABHD15,0.22581593464216626,-0.04022026317522333,-0.015299150689166496,0.3054375530845777,0.3233211018688007,-0.01421462534098744,-0.001392131093017317,0.3162593910135099,0.0784985425411536,0.2097872869917709,0.02822532439011437,-0.014632243336749307,0.015929391517097245
ABHD16A,-0.01555135337149103,-0.16846989407075663,0.08896640790029538,-0.04268777698215454,0.0034061843613323066,-0.31647895984289043,-0.1078672543613461,-0.0014464537831110136,-0.6287154974586256,0.09032240689683176,0.03832299109024073,-0.3795490139263847,-0.2990982004244813
